[1, 'OVERLAP', 1.0, "self.f.event_gov_verb_tense(tokenE) == 'PAST' and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True", 'CBA', 1.0, 41, 41]
[2, 'OVERLAP', 2.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_closest_to_event_equal_class(tokenE) == False and self.f.event_pos_token_3_precede(tokenE) == 'NOUN' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True", 'CBA', 1.0, 39, 39]
[3, 'OVERLAP', 3.0, "self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.reichenbach_temporal_mod_function(tokenE, tokenT) == False and self.f.reichenbach_tense(tokenE, tokenT) == 'simples'", 'CBA', 1.0, 36, 36]
[4, 'OVERLAP', 4.0, "self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos_token_1_follow(tokenT) == 'PUNCT'", 'CBA', 1.0, 34, 34]
[5, 'OVERLAP', 5.0, "self.f.event_pos_token_3_precede(tokenE) == 'NOUN' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.reichenbach_temporal_mod_function(tokenE, tokenT) == False and self.f.timex3_gov_verb_tense(tokenT) == 'PAST'", 'CBA', 1.0, 32, 32]
[6, 'OVERLAP', 6.0, "self.f.event_closest_to_timex3_pos(tokenT) == 'VERB' and self.f.event_pos_token_3_precede(tokenE) == 'NOUN' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.reichenbach_tense(tokenE, tokenT) == 'simples'", 'CBA', 1.0, 32, 32]
[7, 'OVERLAP', 7.0, "self.f.event_gov_verb_tense(tokenE) == 'PAST' and self.f.timex3_pos_token_2_follow(tokenT) == 'DET' and self.f.timex3_preposition_precede(tokenT) == 'no' and self.f.timex3_type(tokenT) == 'DATE'", 'CBA', 1.0, 32, 32]
[8, 'OVERLAP', 8.0, "self.f.event_dep(tokenE) == 'ROOT' and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.timex3_pos_token_1_follow(tokenT) == 'PUNCT' and self.f.timex3_pos_token_2_follow(tokenT) == 'DET'", 'CBA', 1.0, 32, 32]
[9, 'OVERLAP', 9.0, "self.f.event_closest_to_event_equal_class(tokenE) == True and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.timex3_pos_token_2_follow(tokenT) == 'DET'", 'CBA', 1.0, 31, 31]
[10, 'OVERLAP', 10.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_pos_token_2_precede(tokenE) == 'VERB' and self.f.timex3_dep(tokenT) == 'NMOD'", 'CBA', 1.0, 31, 31]
[11, 'OVERLAP', 11.0, "self.f.event_pos_token_1_follow(tokenE) == 'ADV' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.timex3_pos(tokenT) == 'ADV'", 'CBA', 1.0, 31, 31]
[12, 'OVERLAP', 12.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.event_temporal_direction(tokenE) == 'after' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True", 'CBA', 1.0, 31, 31]
[13, 'OVERLAP', 13.0, "self.f.event_dep(tokenE) == 'ROOT' and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.timex3_pos_token_1_precede(tokenT) == 'ADP' and self.f.timex3_pos_token_2_follow(tokenT) == 'DET'", 'CBA', 1.0, 31, 31]
[14, 'OVERLAP', 14.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_pos_token_2_precede(tokenE) == 'VERB' and self.f.timex3_gov_verb_tense(tokenT) == 'PAST'", 'CBA', 1.0, 30, 30]
[15, 'OVERLAP', 15.0, "self.f.event_closest_to_event_equal_class(tokenE) == False and self.f.event_pos_token_3_precede(tokenE) == 'NOUN' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True", 'CBA', 1.0, 30, 30]
[16, 'OVERLAP', 16.0, "self.f.event_dep(tokenE) == 'ROOT' and self.f.event_pos_token_2_precede(tokenE) == 'DET' and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.timex3_head_pos(tokenT) == 'VERB'", 'CBA', 1.0, 30, 30]
[17, 'OVERLAP', 17.0, "self.f.event_gov_verb_tense(tokenE) == 'PAST' and self.f.event_pos_token_1_follow(tokenE) == 'NUM' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.timex3_pos_token_1_precede(tokenT) == 'ADP'", 'CBA', 1.0, 30, 30]
[18, 'OVERLAP', 18.0, "self.f.event_pos_token_2_precede(tokenE) == 'DET' and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True", 'CBA', 1.0, 29, 29]
[19, 'OVERLAP', 19.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_pos_token_1_precede(tokenE) == 'PROPN' and self.f.timex3_pos_token_2_precede(tokenT) == 'PROPN'", 'CBA', 1.0, 29, 29]
[20, 'OVERLAP', 20.0, "self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.event_closest_to_timex3_pos(tokenT) == 'NOUN' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos(tokenT) == 'NOUN'", 'CBA', 1.0, 29, 29]
[21, 'OVERLAP', 21.0, "self.f.event_closest_to_event_equal_class(tokenE) == False and self.f.event_pos_token_3_precede(tokenE) == 'NOUN' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos(tokenT) == 'NOUN'", 'CBA', 1.0, 29, 29]
[22, 'OVERLAP', 22.0, "self.f.event_pos_token_1_follow(tokenE) == 'ADP' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.reichenbach_tense(tokenE, tokenT) == 'simples'", 'CBA', 1.0, 28, 28]
[23, 'OVERLAP', 23.0, "self.f.event_pos_token_1_follow(tokenE) == 'NUM' and self.f.timex3_pos_token_1_follow(tokenT) == 'PUNCT' and self.f.timex3_pos_token_2_follow(tokenT) == 'DET'", 'CBA', 1.0, 28, 28]
[24, 'OVERLAP', 24.0, "self.f.event_closest_to_event_equal_class(tokenE) == False and self.f.event_pos_token_1_follow(tokenE) == 'ADP' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_gov_verb_tense(tokenT) == 'PAST'", 'CBA', 1.0, 28, 28]
[25, 'OVERLAP', 25.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_closest_to_timex3_pos(tokenT) == 'VERB' and self.f.event_pos_token_2_precede(tokenE) == 'DET' and self.f.event_pos_token_3_follow(tokenE) == 'ADP'", 'CBA', 1.0, 28, 28]
[26, 'OVERLAP', 26.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_closest_to_event_equal_class(tokenE) == False and self.f.event_closest_to_event_temporal_direction(tokenE) == 'after' and self.f.event_closest_to_event_tense(tokenE) == 'PAST'", 'CBA', 1.0, 28, 28]
[27, 'OVERLAP', 27.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_pos_token_2_precede(tokenE) == 'VERB' and self.f.timex3_pos(tokenT) == 'NOUN' and self.f.timex3_pos_token_2_precede(tokenT) == 'NOUN'", 'CBA', 1.0, 28, 28]
[28, 'OVERLAP', 28.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_pos_token_2_precede(tokenE) == 'VERB' and self.f.timex3_head_pos(tokenT) == 'NOUN'", 'CBA', 1.0, 27, 27]
[29, 'OVERLAP', 29.0, "self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos(tokenT) == 'ADV' and self.f.timex3_pos_token_1_precede(tokenT) == 'VERB'", 'CBA', 1.0, 27, 27]
[30, 'OVERLAP', 30.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.reichenbach_tense(tokenE, tokenT) == 'simples' and self.f.timex3_preposition_precede(tokenT) == 'no'", 'CBA', 1.0, 27, 27]
[31, 'OVERLAP', 31.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_pos_token_2_precede(tokenE) == 'DET' and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.timex3_pos_token_1_follow(tokenT) == 'PUNCT'", 'CBA', 1.0, 27, 27]
